[0.009s][info][gc] Using The Z Garbage Collector
[0.150s][info][gc] GC(0) Garbage Collection (Warmup) 4M(33%)->2M(17%)
[1.250s][info][gc] GC(1) Garbage Collection (Warmup) 4M(33%)->4M(33%)
[1.347s][info][gc] GC(2) Garbage Collection (Warmup) 4M(33%)->6M(50%)
[5.851s][info][gc] GC(3) Garbage Collection (Proactive) 8M(67%)->6M(50%)
[5.946s][info][gc] Relocation Stall (Attach Listener) 0.671ms
[5.946s][info][gc] GC(4) Garbage Collection (Allocation Stall) 12M(100%)->8M(67%)
[5.947s][info][gc] Allocation Stall (Attach Listener) 12.453ms
[5.998s][info][gc] Relocation Stall (Attach Listener) 1.201ms
[5.998s][info][gc] Allocation Stall (Attach Listener) 12.792ms
[5.998s][info][gc] GC(5) Garbage Collection (Allocation Stall) 12M(100%)->8M(67%)
[6.053s][info][gc] GC(6) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[6.149s][info][gc] GC(7) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[6.252s][info][gc] Allocation Stall (C1 CompilerThread0) 11.694ms
[6.252s][info][gc] Relocation Stall (Attach Listener) 0.427ms
[6.252s][info][gc] Allocation Stall (Attach Listener) 12.430ms
[6.253s][info][gc] GC(8) Garbage Collection (Allocation Rate) 12M(100%)->8M(67%)
[6.356s][info][gc] Relocation Stall (JFR Periodic Tasks) 0.954ms
[6.356s][info][gc] GC(9) Garbage Collection (Allocation Stall) 12M(100%)->8M(67%)
[6.357s][info][gc] Allocation Stall (JFR Periodic Tasks) 7.335ms
[6.454s][info][gc] GC(10) Garbage Collection (Allocation Stall) 8M(67%)->8M(67%)
[6.557s][info][gc] GC(11) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[6.667s][info][gc] GC(12) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[6.768s][info][gc] GC(13) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[6.876s][info][gc] GC(14) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[6.976s][info][gc] GC(15) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[7.073s][info][gc] GC(16) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
